Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 valid routes
There were 528 invalid routes

The epsilon is 1e-15 
The damping factor is 0.85 
The maximum number of iterations is 1000 

IATA	PageRank	Name
BEY 	0.00042246	Rafic Hariri Intl, Lebanon
OGG 	0.00042123	Kahului, United States
ESB 	0.00041953	Esenboga, Turkey
SYX 	0.00041765	Phoenix International, China
KHN 	0.00041529	Changbei Intl, China
KWL 	0.00041399	Liangjiang, China
BPN 	0.00041393	Sepinggan, Indonesia
REC 	0.00041324	Guararapes Gilberto Freyre Intl, Brazil
TNR 	0.00041320	Ivato, Madagascar
CJU 	0.00041300	Jeju Intl, South Korea
TSE 	0.00041166	Astana Intl, Kazakhstan
VLC 	0.00041114	Valencia, Spain
GYE 	0.00041109	Jose Joaquin De Olmedo Intl, Ecuador
HKT 	0.00041102	Phuket Intl, Thailand
LPB 	0.00041098	El Alto Intl, Bolivia
HAJ 	0.00040813	Hannover, Germany
MSY 	0.00040803	Louis Armstrong New Orleans Intl, United States
LCY 	0.00040685	City, United Kingdom
BLQ 	0.00040638	Bologna, Italy
SPU 	0.00040509	Split, Croatia
OKA 	0.00040435	Naha, Japan
DKR 	0.00040280	Leopold Sedar Senghor Intl, Senegal
TIP 	0.00040271	Tripoli Intl, Libya
SXF 	0.00040019	Schonefeld, Germany
SJC 	0.00040015	Norman Y Mineta San Jose Intl, United States
TAH 	0.00039989	Tanna island, Vanuatu
YZV 	0.00039980	Sept Iles, Canada
FUE 	0.00039842	Fuerteventura, Spain
BEG 	0.00039713	Beograd, Serbia
KGS 	0.00039602	Kos, Greece
SDU 	0.00039479	Santos Dumont, Brazil
WIL 	0.00039352	Nairobi Wilson, Kenya
MDL 	0.00039338	Mandalay Intl, Burma
CVG 	0.00039293	Cincinnati Northern Kentucky Intl, United States
NAP 	0.00039256	Capodichino, Italy
DBV 	0.00039117	Dubrovnik, Croatia
MFM 	0.00039036	Macau Intl, Macau
SZB 	0.00039006	Subang-Sultan Abdul Aziz Shah Intl, Malaysia
LHW 	0.00038999	Lanzhou Airport, China
LBA 	0.00038897	Leeds Bradford, United Kingdom
NTE 	0.00038857	Nantes Atlantique, France
ISB 	0.00038810	Chaklala, Pakistan
OLB 	0.00038796	Olbia Costa Smeralda, Italy
GYD 	0.00038637	Heydar Aliyev, Azerbaijan
YQB 	0.00038561	Quebec Jean Lesage Intl, Canada
MKE 	0.00038463	General Mitchell Intl, United States
MYY 	0.00038277	Miri, Malaysia
PIT 	0.00038130	Pittsburgh Intl, United States
ITM 	0.00038080	Osaka Intl, Japan
YWK 	0.00038021	Wabush, Canada
PUJ 	0.00037854	Punta Cana Intl, Dominican Republic
SXM 	0.00037807	Princess Juliana Intl, Netherlands Antilles
SMF 	0.00037499	Sacramento Intl, United States
YHZ 	0.00037275	Halifax Intl, Canada
RKV 	0.00037029	Reykjavik, Iceland
BIO 	0.00036534	Bilbao, Spain
LUN 	0.00036498	Lusaka Intl, Zambia
ULN 	0.00036476	Chinggis Khaan Intl, Mongolia
AKN 	0.00036460	King Salmon, United States
ADB 	0.00036295	Adnan Menderes, Turkey
ABJ 	0.00036048	Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire
LUX 	0.00035938	Luxembourg, Luxembourg
WNZ 	0.00035937	Wenzhou Yongqiang Airport, China
IND 	0.00035791	Indianapolis Intl, United States
PEN 	0.00035696	Penang Intl, Malaysia
HFE 	0.00035080	Luogang, China
CMH 	0.00035053	Port Columbus Intl, United States
KHV 	0.00034975	Novy, Russia
COK 	0.00034913	Cochin, India
YQT 	0.00034866	Thunder Bay, Canada
DLA 	0.00034763	Douala, Cameroon
TRD 	0.00034732	Vaernes, Norway
KJA 	0.00034717	Emelyanovo, Russia
FOR 	0.00034553	Pinto Martins Intl, Brazil
RAK 	0.00034263	Menara, Morocco
YYR 	0.00034235	Goose Bay, Canada
RSW 	0.00034160	Southwest Florida Intl, United States
SUV 	0.00034130	Nausori Intl, Fiji
RAR 	0.00034054	Rarotonga Intl, Cook Islands
ABQ 	0.00033946	Albuquerque International Sunport, United States
SAH 	0.00033698	Sanaa Intl, Yemen
BOD 	0.00033599	Merignac, France
MRU 	0.00033559	Sir Seewoosagur Ramgoolam Intl, Mauritius
CGQ 	0.00033519	Changchun, China
CAG 	0.00033451	Elmas, Italy
TOS 	0.00033436	Langnes, Norway
DUT 	0.00033431	Unalaska, United States
PMO 	0.00033260	Palermo, Italy
LHE 	0.00033259	Allama Iqbal Intl, Pakistan
SON 	0.00033104	Santo Pekoa International Airport, Vanuatu
LPL 	0.00033068	Liverpool, United Kingdom
TSV 	0.00032976	Townsville, Australia
AUA 	0.00032959	Reina Beatrix Intl, Aruba
MSQ 	0.00032868	Minsk 2, Belarus
AZA 	0.00032818	Phoenix-Mesa Gateway, United States
YEV 	0.00032742	Inuvik Mike Zubko, Canada
SOF 	0.00032722	Sofia, Bulgaria
CUR 	0.00032628	Hato, Netherlands Antilles
VVI 	0.00032482	Viru Viru Intl, Bolivia
LIN 	0.00032439	Linate, Italy
GOH 	0.00032439	Nuuk, Greenland
CLO 	0.00032345	Alfonso Bonilla Aragon Intl, Colombia
INC 	0.00032340	Yinchuan, China
EIN 	0.00031894	Eindhoven, Netherlands
DLM 	0.00031799	Dalaman, Turkey
TIJ 	0.00031679	General Abelardo L Rodriguez Intl, Mexico
SJW 	0.00031464	Shijiazhuang Daguocun International Airport, China
NGB 	0.00031250	Lishe, China
BOJ 	0.00031124	Burgas, Bulgaria
VNO 	0.00031097	Vilnius Intl, Lithuania
VVO 	0.00030983	Knevichi, Russia
TLL 	0.00030744	Tallinn, Estonia
SYQ 	0.00030707	Tobias Bolanos International Airport, Costa Rica
SNA 	0.00030664	John Wayne Arpt Orange Co, United States
OOL 	0.00030577	Gold Coast, Australia
YVP 	0.00030433	Kuujjuaq, Canada
SJD 	0.00030189	Los Cabos Intl, Mexico
FNC 	0.00030074	Madeira, Portugal
IKA 	0.00030042	Imam Khomeini, Iran
BVA 	0.00030018	Tille, France
GMP 	0.00029810	Gimpo, South Korea
KHH 	0.00029755	Kaohsiung Intl, Taiwan
HHN 	0.00029740	Frankfurt Hahn, Germany
GAU 	0.00029715	Lokpriya Gopinath Bordoloi International Airport, India
BOO 	0.00029600	Bodo, Norway
DAL 	0.00029498	Dallas Love Fld, United States
DAR 	0.00029426	Mwalimu Julius K Nyerere Intl, Tanzania
NRN 	0.00029351	Niederrhein, Germany
KRK 	0.00029277	Balice, Poland
SVG 	0.00029252	Sola, Norway
JAV 	0.00029172	Ilulissat, Greenland
CNX 	0.00029122	Chiang Mai Intl, Thailand
HBE 	0.00029081	Borg El Arab Intl, Egypt
NAY 	0.00029075	Beijing Nanyuan Airport, China
MLE 	0.00028990	Male Intl, Maldives
GUM 	0.00028910	Guam Intl, Guam
KCH 	0.00028729	Kuching Intl, Malaysia
YRL 	0.00028710	Red Lake Airport, Canada
IFN 	0.00028657	Esfahan Shahid Beheshti Intl, Iran
YNT 	0.00028644	Laishan, China
KGL 	0.00028617	Kigali Intl, Rwanda
AAQ 	0.00028571	Vityazevo, Russia
SDQ 	0.00028465	Las Americas Intl, Dominican Republic
IEV 	0.00028430	Zhuliany Intl, Ukraine
YKS 	0.00028210	Yakutsk, Russia
MYR 	0.00027924	Myrtle Beach Intl, United States
AMD 	0.00027845	Ahmedabad, India
